dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,5,105,5.0
96,5,105,16.11111111111111
128,5,105,16.11111111111111
160,5,105,16.11111111111111
192,5,105,16.11111111111111
224,5,105,27.22222222222222
256,5,105,27.22222222222222
288,5,105,27.22222222222222
320,5,105,38.33333333333333
352,5,105,38.33333333333333
384,5,105,38.33333333333333
416,5,105,38.33333333333333
448,5,105,49.44444444444444
480,5,105,49.44444444444444
512,5,105,49.44444444444444
544,5,105,49.44444444444444
576,5,105,60.55555555555556
608,5,105,60.55555555555556
640,5,105,60.55555555555556
672,5,105,60.55555555555556
704,5,105,71.66666666666666
736,5,105,71.66666666666666
768,5,105,71.66666666666666
800,5,105,71.66666666666666
832,5,105,82.77777777777777
864,5,105,82.77777777777777
896,5,105,82.77777777777777
928,5,105,82.77777777777777
960,5,105,93.88888888888889
992,5,105,93.88888888888889
1024,5,105,93.88888888888889
