dimensions,opt_times
64,19
96,30
128,34
160,37
192,41
224,43
256,48
288,59
320,60
352,62
384,64
416,66
448,67
480,68
512,71
544,72
576,73
608,88
640,90
672,91
704,92
736,94
768,97
800,98
832,102
864,103
896,104
928,106
960,109
992,109
1024,110
1056,124
1088,126
1120,126
1152,127
1184,128
1216,129
1248,129
1280,130
1312,131
1344,132
1376,132
1408,133
1440,134
1472,134
1504,135
1536,135
1568,136
1600,136
1632,137
1664,138
1696,139
1728,139
1760,140
