dimensions,min_gaps
64,0.24224854438140764
96,0.19825874179879244
128,0.17196196062586888
160,0.15398736297268
192,0.1407038610802147
224,0.1303701174448404
256,0.12203401226698651
288,0.11512433845700709
320,0.1092753194792957
352,0.1042404339802947
384,0.09984661949615248
416,0.09596823282106515
448,0.09251173768607579
480,0.08940557863116161
512,0.0865943030575913
544,0.08403387793657568
576,0.08168915141365596
608,0.07953137150931067
640,0.07753687887376182
672,0.07568603577261479
704,0.07396240476364113
736,0.07235196566664004
768,0.07084285798935963
800,0.06942489088475456
832,0.06808922315755539
864,0.06682817263017404
896,0.0656350197415354
928,0.06450391695496727
960,0.06342957262253135
992,0.06240746376688877
1024,0.06143345723390348
1056,0.06050391569496094
1088,0.05961550793191517
1120,0.05876529607968495
1152,0.05795060020683618
1184,0.05716905148618334
1216,0.05641844534594376
1248,0.055696782725097815
1280,0.05500221937377203
1312,0.05433315030379027
1344,0.05368801233550391
1376,0.05306543048185475
1408,0.052464127320749565
1440,0.05188287810081538
1472,0.051320624557761096
1504,0.0507763358114004
1536,0.05024909647209941
1568,0.04973799659440714
1600,0.04924225877423072
1632,0.048761100705641436
1664,0.04829384644274426
1696,0.04783984443491729
1728,0.047398436739918504
1760,0.04696908977754144
