dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,0.0,10.0,7.777777777777779
96,8.214285714285715,18.214285714285715,10.436507936507937
128,8.214285714285715,18.214285714285715,12.65873015873016
160,8.214285714285715,18.214285714285715,15.992063492063494
192,16.428571428571427,26.428571428571427,18.65079365079365
224,16.428571428571427,26.428571428571427,20.873015873015873
256,16.428571428571427,26.428571428571427,23.095238095238095
288,24.642857142857142,34.64285714285714,25.753968253968253
320,24.642857142857146,34.642857142857146,27.976190476190478
352,24.642857142857142,34.64285714285714,30.198412698412696
384,24.642857142857146,34.642857142857146,32.420634920634924
416,32.857142857142854,42.857142857142854,35.079365079365076
448,32.857142857142854,42.857142857142854,37.3015873015873
480,32.857142857142854,42.857142857142854,39.52380952380952
512,32.857142857142854,42.857142857142854,41.74603174603175
544,41.07142857142857,51.07142857142857,43.29365079365079
576,41.07142857142857,51.07142857142857,45.51587301587301
608,41.07142857142857,51.07142857142857,47.738095238095234
640,41.07142857142857,51.07142857142857,49.960317460317455
672,49.28571428571428,59.28571428571428,51.5079365079365
704,49.28571428571429,59.28571428571429,53.730158730158735
736,49.285714285714285,59.285714285714285,55.95238095238095
768,49.285714285714285,59.285714285714285,58.17460317460318
800,57.499999999999986,67.49999999999999,59.72222222222221
832,57.5,67.5,61.94444444444444
864,57.49999999999999,67.5,64.16666666666666
896,57.499999999999986,67.49999999999999,66.38888888888887
928,65.71428571428571,75.71428571428571,67.93650793650794
960,65.71428571428571,75.71428571428571,70.15873015873015
992,65.71428571428571,75.71428571428571,72.38095238095238
1024,65.71428571428571,75.71428571428571,74.6031746031746
1056,73.92857142857143,83.92857142857143,76.15079365079366
1088,73.92857142857143,83.92857142857143,78.37301587301587
1120,73.92857142857143,83.92857142857143,79.48412698412699
1152,73.92857142857143,83.92857142857143,81.70634920634922
1184,82.14285714285714,92.14285714285714,84.36507936507937
1216,82.14285714285714,92.14285714285714,85.47619047619047
1248,82.14285714285714,92.14285714285714,87.6984126984127
1280,82.14285714285714,92.14285714285714,89.92063492063491
1312,90.35714285714285,100.35714285714285,91.46825396825396
1344,90.35714285714285,100.35714285714285,93.69047619047618
1376,90.35714285714285,100.35714285714285,95.9126984126984
1408,90.35714285714286,100.35714285714286,97.02380952380953
1440,90.35714285714283,100.35714285714283,99.24603174603172
1472,98.57142857142857,108.57142857142857,100.7936507936508
1504,98.57142857142857,108.57142857142857,103.01587301587301
1536,98.57142857142858,108.57142857142858,105.23809523809526
1568,98.57142857142857,108.57142857142857,106.34920634920636
1600,106.78571428571429,116.78571428571429,109.00793650793652
1632,106.78571428571428,116.78571428571428,110.1190476190476
1664,106.78571428571428,116.78571428571428,112.34126984126983
1696,106.78571428571428,116.78571428571428,114.56349206349205
1728,115.0,125.0,116.11111111111111
1760,114.99999999999999,124.99999999999999,118.33333333333331
