times,overlaps
113,(0.17370443160036844-0.15593301061903847j)
114,(0.21508404944635912+0.05796162806580111j)
115,(0.0634310804500712+0.19988074947361573j)
116,(-0.12539748860498728+0.14914736274914575j)
117,(-0.17694770733917783-0.025164149703021194j)
118,(-0.06440449609006646-0.14832267939246546j)
119,(0.08342517104242095-0.11739834477531826j)
120,(0.12536339474942199+0.010529145704873122j)
121,(0.045311667941010644+0.09706407398916736j)
122,(-0.05236292307113879+0.07085294870452181j)
123,(-0.0680127595913974-0.012603287400443221j)
124,(-0.00900873107622475-0.05071626720874259j)
125,(0.03622432314537685-0.012832740401338721j)
126,(0.010984307845706046+0.034847686427169906j)
127,(-0.04360664604287712+0.01865002828244651j)
128,(-0.043061294992758035-0.04801301910641538j)
129,(0.03169469383223694-0.07686051585572476j)
130,(0.10067058298384365-0.011600003682097286j)
131,(0.07131503872396647+0.09407934390338002j)
132,(-0.04855026279842869+0.12349101188661873j)
133,(-0.14261393566987807+0.02576229783243049j)
134,(-0.10344115675851381-0.11493256461430344j)
135,(0.04571076340492916-0.15527586207685784j)
136,(0.16119132006217662-0.04301044306232431j)
137,(0.12203047984683173+0.11810252255482463j)
138,(-0.03983868462686843+0.16648100082483697j)
139,(-0.16398454386560285+0.04931885010127634j)
140,(-0.12356829359823757-0.11715553943879689j)
141,(0.04104781193315535-0.1634293282475594j)
142,(0.16055990550199656-0.042548533707865974j)
143,(0.11199163288556438+0.1188240341987985j)
144,(-0.051597876950746524+0.15184677488587944j)
145,(-0.15607618416299396+0.023597569616710813j)
146,(-0.09066394690248857-0.1273165987242436j)
147,(0.07340112770857579-0.1379860318559344j)
148,(0.15813577350021213+0.004088860247720061j)
149,(0.06952821747156668+0.14623026918254703j)
150,(-0.10029949815970551+0.1334062525693585j)
151,(-0.17028410421404946-0.02508235740015437j)
152,(-0.06357470631633938-0.16441141079002886j)
153,(0.11076965297270457-0.13936834854632246j)
154,(0.1747055514368992+0.02277238349186505j)
155,(0.06917540708720409+0.15511110778016915j)
156,(-0.0895700230978172+0.13071029464362494j)
157,(-0.14171522771653755-0.008065615893195766j)
158,(-0.054370615264406175-0.10780391530230354j)
159,(0.05629369868059358-0.07777842033297211j)
160,(0.06809505223597813+0.018174078396562085j)
161,(-0.0077860896920144106+0.05079612482772851j)
162,(-0.05128872659939086-0.014217955392467105j)
163,(0.01058244536580015-0.07551898493900058j)
164,(0.1042920150777217-0.025112385593446453j)
165,(0.0917404685410277+0.10532246553497238j)
166,(-0.05511703568535962+0.16168714119606561j)
167,(-0.19461348987564567+0.043261506933530494j)
168,(-0.1573771582357066-0.16007635569291467j)
169,(0.05604463238105053-0.23917827422759078j)
170,(0.24784114216470235-0.08664931997738648j)
171,(0.2160597092481361+0.17002820942560873j)
172,(-0.02785077988925263+0.2812786354562326j)
173,(-0.2547421865524557+0.12906873611140163j)
174,(-0.2439494942920115-0.14467633859219278j)
175,(-0.0080520336367547-0.2767012982797991j)
176,(0.22047242090355168-0.1475828844716608j)
177,(0.22716718646253276+0.10302087176098293j)
178,(0.027706013770198986+0.22808382584920017j)
179,(-0.16421010762498384+0.12615279071948482j)
180,(-0.16802238401432606-0.07094815952015046j)
181,(-0.014199077256793232-0.1562799479074221j)
182,(0.11312250318170777-0.06827190871830087j)
183,(0.0886995219730185+0.0646237809709498j)
184,(-0.02755921054240907+0.0877287883620811j)
185,(-0.0811784346744293-0.004584613148581237j)
186,(-0.012172618024711633-0.07872103431446109j)
187,(0.07982586050687877-0.033289781754826595j)
188,(0.06451560484463029+0.07547447415889372j)
189,(-0.05375142387076998+0.10219919099832132j)
190,(-0.13296048256285087-0.007207963490137928j)
191,(-0.0604627324881907-0.1383411741253741j)
192,(0.10381173341301439-0.1318559885579508j)
193,(0.1804452223233461+0.02861951938358511j)
194,(0.06937379001067741+0.18203088802915451j)
195,(-0.12777195052964313+0.15842366976890504j)
196,(-0.20628943691611554-0.03092567997898954j)
197,(-0.07769170774852587-0.1951979613032613j)
198,(0.1295377919288397-0.16336955083188637j)
199,(0.20207437416292087+0.032127553697100984j)
