dimensions,min_gaps
64,0.12923103953991633
96,0.1019331659605871
128,0.08628181752188757
160,0.07588317579029558
192,0.068368249515105
224,0.06262809025958549
256,0.058067134504217854
288,0.0543376630497765
320,0.05121764885881075
352,0.04855981029542056
384,0.046262601048292495
416,0.04425119113656417
448,0.042473594256880576
480,0.04088825192293144
512,0.0394621705991105
544,0.03817154252672972
576,0.03699716191808866
608,0.03592241450878686
640,0.03493411453437778
672,0.03402134140392454
704,0.033175288826917004
736,0.032388512584856866
768,0.03165388625864263
800,0.03096685455899273
832,0.030322201793160142
864,0.02971573071192335
896,0.029144065148328124
928,0.028603702936835562
960,0.028092352091802608
992,0.0276076129278362
1024,0.027146581752062193
1056,0.026708450642685788
1088,0.02629048948621615
1120,0.02589174938844807
1152,0.025510970632314223
1184,0.025146086184589134
1216,0.024796790983700356
1248,0.024461911832715844
1280,0.024140442291571418
1312,0.02383152083959561
1344,0.02353394236403239
1376,0.02324756627455482
1408,0.022971407663112453
1440,0.02270549076095074
1472,0.022448559947420232
1504,0.022200347185443503
1536,0.021960209632866157
1568,0.021728000338117948
1600,0.021503195632743388
1632,0.021285330464931862
1664,0.02107399233577123
1696,0.02086921815158216
1728,0.02067027276531186
1760,0.02047713413511909
