dimensions,min_gaps
64,0.24804233509624973
96,0.20305992547357454
128,0.17613914953808552
160,0.15763882770434368
192,0.14396180048887786
224,0.13333630949059372
256,0.12477479713467687
288,0.11768602295939423
320,0.11169153951844668
352,0.10653637876331667
384,0.10204165815979438
416,0.09805806756908864
448,0.09449111825230783
480,0.09128709291752668
512,0.08838834764832237
544,0.08574929257125652
576,0.08333333333332793
608,0.08111071056538233
640,0.07905694150420839
672,0.07715167498104236
704,0.0753778361444416
736,0.07372097807744771
768,0.07216878364870294
800,0.07071067811865084
832,0.06933752452815967
864,0.06804138174397434
896,0.06681531047810496
928,0.06565321642986177
960,0.06454972243679269
992,0.06350006350009652
1024,0.06250000000000133
1056,0.06154574548967051
1088,0.06063390625907883
1120,0.05976143046671856
1152,0.058925565098880583
1184,0.05812381937190869
1216,0.05735393346763995
1248,0.056613851707228546
1280,0.055901699437495345
1312,0.055215763037425925
1344,0.05455447255899393
1376,0.05391638660171694
1408,0.0533001790889045
1440,0.052704627669472814
1472,0.05212860351426685
1504,0.051571062312938065
1536,0.05103103630798589
1568,0.05050762722760804
1600,0.050000000000000155
1632,0.049507377148832354
1664,0.049029033784542486
1696,0.04856429311786503
1728,0.04811252243246977
1760,0.047673129462281305
