marked_states,fidelities
1,0.3608623495375834
2,0.4312592103901177
3,0.4685482376853217
4,0.5023361732153071
5,0.5303638118570931
6,0.5511494325420738
7,0.5676448942359829
8,0.5825938798455349
9,0.5973345898962755
10,0.6121717472810904
11,0.6269167012961144
12,0.6412410673657651
13,0.6548496602469196
14,0.6675421487832833
15,0.6792188801356072
16,0.6898637960499666
17,0.6995212769490431
18,0.7082744247484533
19,0.7162274648566368
20,0.7234926783323148
21,0.7301813435738691
22,0.7363978852613399
23,0.7422364352118174
24,0.7477791258179988
25,0.7530955781277063
26,0.7582431780565457
27,0.7632678436538812
28,0.7682050721973965
29,0.773081120797212
30,0.7779142220017005
31,0.7827157704127796
32,0.7874914408038753
33,0.7922422153079125
34,0.796965308927295
35,0.8016549904320238
36,0.806303300778955
37,0.8109006743243186
38,0.8154364699047157
39,0.8198994197533981
40,0.8242780044998161
41,0.8285607623845707
42,0.8327365404572502
43,0.8367946950148674
44,0.840725247953504
45,0.844519005093227
46,0.8481676419271551
47,0.8516637616591847
48,0.8550009298437771
49,0.8581736894304909
50,0.8611775595496315
51,0.8640090209527082
52,0.8666654906413614
53,0.8691452878789901
54,0.8714475934772781
55,0.8735724039824739
56,0.8755204821502232
57,0.8772933048903396
58,0.8788930096807666
59,0.8803223402908502
60,0.881584592515137
61,0.8826835604978827
62,0.8836234841238078
63,0.8844089978594698
64,0.8850450813514829
65,0.885537012019952
66,0.8858903198278992
67,0.8861107443575419
68,0.8862041942823683
69,0.886176709287912
70,0.8860344244640612
71,0.8857835371664275
72,0.8854302763230726
73,0.8849808741456288
74,0.8844415401895084
75,0.8838184376965699
76,0.8831176621443024
77,0.8823452219187821
78,0.8815070210231866
79,0.8806088437298459
80,0.8796563410815801
81,0.8786550191460545
82,0.8776102289270763
83,0.8765271578363861
84,0.875410822630714
85,0.8742660637202277
86,0.8730975407562588
87,0.8719097294083822
88,0.8707069192436039
89,0.8694932126226951
90,0.8682725245319507
91,0.867048583271367
92,0.8658249319233546
93,0.8646049305290914
94,0.8633917589029287
95,0.8621884200180837
96,0.8609977439000814
97,0.8598223919674444
98,0.8586648617619721
99,0.8575274920139787
100,0.8564124679906501
101,0.8553218270783545
102,0.8542574645525725
103,0.8532211394914953
104,0.8522144807919909
105,0.8512389932489531
106,0.8502960636613655
107,0.8493869669306121
108,0.8485128721187905
109,0.8476748484366388
110,0.8468738711328648
111,0.8461108272583481
112,0.8453865212805579
113,0.8447016805252834
114,0.8440569604243308
115,0.8434529495494583
116,0.8428901744143159
117,0.8423691040276554
118,0.8418901541822832
119,0.8414536914658595
120,0.8410600369805522
121,0.8407094697601492
122,0.8404022298741546
123,0.8401385212096455
124,0.839918513922845
125,0.8397423465532913
126,0.8396101277946673
127,0.8395219379173876
128,0.8394778298389
129,0.8394778298388976
130,0.8395219379173933
131,0.8396101277946654
132,0.8397423465532887
133,0.8399185139228447
134,0.8401385212096452
135,0.8404022298741538
136,0.8407094697601544
137,0.8410600369805528
138,0.8414536914658602
139,0.8418901541822793
140,0.8423691040276513
141,0.8428901744143186
