marked_states,fidelities
233,1.3547120475887016e-05
234,1.3331075365346049e-05
235,1.3112092673115476e-05
236,1.2889750091456798e-05
237,1.266357177415226e-05
238,1.2433018210972255e-05
239,1.2197473621392456e-05
240,1.1956230098360255e-05
241,1.1708467438894626e-05
242,1.145322716816788e-05
243,1.1189378622107907e-05
244,1.0915573975744524e-05
245,1.0630187578328006e-05
246,1.033123250975023e-05
247,1.0016243231859906e-05
248,9.682106304550498e-06
249,9.324808882686395e-06
250,8.939051999281724e-06
251,8.517631454906359e-06
252,8.050398463901034e-06
253,7.522415719040409e-06
254,6.910477632006046e-06
255,6.176027950290039e-06
256,5.239153000673802e-06
