dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,10,175,10.0
96,10,175,20.3125
128,10,175,20.3125
160,10,175,30.625
192,10,175,30.625
224,10,175,40.9375
256,10,175,40.9375
288,10,175,51.25
320,10,175,51.25
352,10,175,61.5625
384,10,175,61.5625
416,10,175,71.875
448,10,175,71.875
480,10,175,82.1875
512,10,175,82.1875
544,10,175,92.5
576,10,175,92.5
608,10,175,102.8125
640,10,175,102.8125
672,10,175,102.8125
704,10,175,113.125
736,10,175,113.125
768,10,175,123.4375
800,10,175,123.4375
832,10,175,133.75
864,10,175,133.75
896,10,175,144.0625
928,10,175,144.0625
960,10,175,154.375
992,10,175,154.375
1024,10,175,164.6875
