times,norm_overlaps,real_overlaps,imag_overlaps
0,0.007871508320090257,-0.028305277031224863,0.08408519258630423
1,0.01924597614457694,-0.13651255547689398,-0.024704217084232497
2,0.036858751397236864,-0.02643382682103912,-0.19015784021920362
3,0.05966390812760254,0.21302386410966867,-0.11951879118945252
4,0.08713703202629855,0.23259601654567275,0.18175842515103305
5,0.11900808199706046,-0.08677033377488241,0.33388469742361054
6,0.15476732472408455,-0.38813534091439683,0.06417384091161676
7,0.19353046486800904,-0.24419113429280284,-0.3659250671938223
8,0.23432850373425868,0.25442629747731316,-0.41182006129648957
9,0.276380150055878,0.5218402092862008,0.06374124275547326
10,0.3190023685631365,0.1737838713347094,0.5374025815225097
11,0.3613251562963068,-0.44005548087370444,0.4094830033704934
12,0.4022262008260867,-0.5883637195417218,-0.23675796576486452
13,0.44059848832985576,-0.03839655868653435,-0.6626644645753138
14,0.47562947063888966,0.6053859649688546,-0.33035935594079735
15,0.5067635232055427,0.5758189669112322,0.4185642609574114
16,0.5334310936288637,-0.13414714830796814,0.7179384627039449
17,0.5549224164422414,-0.7198415064369605,0.19170451755972964
18,0.5705936497068074,-0.49021863008231387,-0.5746993513368768
19,0.5801698876874194,0.30916450434712844,-0.6961229754427114
20,0.583784349072279,0.7637340814095919,-0.022239648507248563
21,0.5817121167832747,0.34995764089250436,0.6776737905247832
22,0.5741201414036454,-0.45607059971976593,0.6050783002842677
23,0.561126648188349,-0.7345849683671317,-0.14666823936152315
24,0.5430920249600611,-0.1838071804406842,-0.7136574426000943
25,0.5207951448783366,0.5513803620750306,-0.46559085171032377
26,0.49527992763580125,0.6424627236024597,0.28726568959259774
27,0.46751045611454406,0.019687254319196684,0.6834638747819195
28,0.4381484980811647,-0.5875377248499986,0.3048736130911497
29,0.4076075581818799,-0.5115762883500864,-0.38196499758463354
30,0.3762602906498467,0.11552813600971455,-0.6024230576928207
31,0.34457649004432445,0.5667429556446288,-0.1529016424748757
32,0.31309707324653113,0.367988890263485,0.4215225378187742
33,0.2823189348757952,-0.2056803485574613,0.48991277702574404
34,0.2526081328843082,-0.5016977510484081,0.03012473198682046
35,0.2241881280868614,-0.2351604844923949,-0.41095945617562263
36,0.1971811059132132,0.24651362110382538,-0.3693401420418485
37,0.17166998844743483,0.4111992040580108,0.05084489187217565
38,0.1477603687894467,0.13018375870390675,0.3616801871255456
39,0.12561688054672535,-0.24261841743682486,0.2583663756512754
40,0.10544597817713867,-0.312062330153786,-0.0897946561668797
41,0.08742760298397408,-0.057571578470013075,-0.290022613491509
42,0.0716425962812606,0.20902579538354008,-0.1671849668646647
43,0.05804940655515691,0.22053754435504314,0.09701854505713993
44,0.046518850155466154,0.015287332122699619,0.21513983274149032
45,0.03688597789352757,-0.16265962252608424,0.10211672288709309
46,0.028974844348087656,-0.1481128497430441,-0.08388938007329712
47,0.022591820740471984,0.002055004584050549,-0.15029170867560032
48,0.017517447666870443,0.11631006622906659,-0.06316182518468404
49,0.013521458009111554,0.09918849361320654,0.06068855529549569
50,0.010394768255679851,-0.0008078522681543633,0.10195153569413601
51,0.007973589846694128,-0.07593954403409603,0.046976329130613406
52,0.006140655844019534,-0.07121509396713298,-0.03269657834196041
53,0.004810296684741719,-0.012700940143559315,-0.06818344963560763
54,0.003913866890629366,0.04224597923409277,-0.04614264978500875
55,0.0033945183608180664,0.058131614879643946,0.003903038854895624
56,0.0032081486869389077,0.03323036914424835,0.045868194355957535
57,0.0033230122764613982,-0.014060986566890194,0.05590439100130804
58,0.0037148058997416456,-0.055209517587397394,0.02582082623597672
59,0.004360080766947624,-0.05874171015951727,-0.03015778928374707
60,0.005233192978337359,-0.01119571528052693,-0.07146921671387434
61,0.006310246731645288,0.05781661615426721,-0.05447463288646758
62,0.007579301449606164,0.08451324233370724,0.02090007942210358
63,0.009051106644056825,0.028624974093842473,0.09072881296580305
64,0.010761702537440933,-0.06981074264327376,0.07673436485066865
65,0.01276193563007015,-0.11003919506390343,-0.025559952655636133
66,0.015100171436737463,-0.03259063806877132,-0.11848215792687022
67,0.017814430445726757,0.09723925765846739,-0.0914273329795688
68,0.020945038317803998,0.1365017490182948,0.04808649324654955
69,0.024556626852247885,0.020557394397845565,0.1553512806120996
70,0.028739061943549797,-0.14025560218204583,0.09522304343015664
71,0.03356704797253164,-0.15966698978353172,-0.08985265909252334
72,0.039037777596750485,0.010243694434856144,-0.19731407532428036
73,0.04503786391161219,0.19473888878997694,-0.08434826082651133
74,0.051375358896834984,0.17308977060431718,0.14633963990997054
75,0.05785683870088816,-0.05789614344275225,0.23346279205763049
76,0.06434868252546065,-0.24792466998828233,0.053684639671529394
77,0.07078090215974564,-0.16451204321579596,-0.20908536485538562
78,0.07711053666480105,0.1216944842766658,-0.24960166097491698
79,0.08329288069303867,0.28860026410440204,0.0016638064515045571
