dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,10,210,10.0
96,10,210,20.526315789473685
128,10,210,31.05263157894737
160,10,210,31.05263157894737
192,10,210,41.578947368421055
224,10,210,41.578947368421055
256,10,210,52.10526315789474
288,10,210,62.631578947368425
320,10,210,62.631578947368425
352,10,210,73.15789473684211
384,10,210,83.6842105263158
416,10,210,83.6842105263158
448,10,210,94.21052631578948
480,10,210,94.21052631578948
512,10,210,104.73684210526316
544,10,210,115.26315789473685
576,10,210,115.26315789473685
608,10,210,125.78947368421053
640,10,210,125.78947368421053
672,10,210,136.31578947368422
704,10,210,136.31578947368422
736,10,210,146.84210526315792
768,10,210,157.3684210526316
800,10,210,157.3684210526316
832,10,210,167.89473684210526
864,10,210,167.89473684210526
896,10,210,178.42105263157896
928,10,210,188.94736842105266
960,10,210,188.94736842105266
992,10,210,199.47368421052633
1024,10,210,199.47368421052633
