times,norm_overlaps,real_overlaps,imag_overlaps
0,0.00784512062333148,-0.026943352698133475,0.08437521181434429
1,0.019290982771093715,-0.13732092374924762,-0.020831386697650164
2,0.03740280973664893,-0.034928070536712666,-0.1902178740950265
3,0.06142833078522975,0.20839559146948022,-0.13416261864362686
4,0.09104250364103196,0.2517162451048408,0.166377389062792
5,0.12620325636706828,-0.055181211205218794,0.3509391546935071
6,0.1667384564388863,-0.39228366120948244,0.11336659819792727
7,0.2120970933825708,-0.305539322353913,-0.3445907948249379
8,0.26146780080335963,0.19750952608062747,-0.4716543097553181
9,0.3140694820982168,0.5595598310501478,-0.031020599177752375
10,0.3692766493710073,0.29640488416173794,0.530491087593443
11,0.42647065983570065,-0.37158752062124284,0.5370226944499256
12,0.48482163700611836,-0.6887171012505192,-0.10242261201121756
13,0.5432607931064766,-0.2258990630776071,-0.7015913386061261
14,0.6006699539199762,0.5554587078852012,-0.5404956778314502
15,0.6560788796100909,0.764147599461735,0.268621156737437
16,0.7086794321268769,0.10372208711860484,0.8354167587322135
17,0.7576912494935928,-0.7254471069261423,0.4810589823982949
18,0.8022756055482462,-0.7760335668363149,-0.44726670867789053
19,0.8416188599446609,0.05519057601778039,-0.9157362394617167
20,0.8751008441850482,0.8607026522261818,-0.36645844053025245
21,0.9023688312299496,0.7230845273533316,0.6160499959679885
22,0.9232500711410402,-0.23131902682221894,0.9325993668082033
23,0.9376114991274563,-0.9451177189333507,0.21062762517218925
24,0.945313805785675,-0.6125725728576997,-0.7550289059156432
25,0.9462806359258016,0.4028011519614496,-0.8854557402289122
26,0.9405710452047396,0.9692276694713617,-0.034187277397481716
27,0.9283538017195478,0.45973550239151884,0.8467567948120438
28,0.9098089634473938,-0.5473669955611995,0.7811519286398131
29,0.8850702694037145,-0.9303707835648019,-0.1395724703970344
30,0.8542750306843394,-0.2850602343720175,-0.8792131103800204
31,0.817671213307718,0.645353610337405,-0.6333955564512549
32,0.7756805137072047,0.8325621010096116,0.2872644455369755
33,0.7288786759396138,0.11078068432373599,0.8465260279048592
34,0.6779457151132551,-0.6831502829596255,0.45962093730098785
35,0.6236536614171977,-0.6865463141330266,-0.3902663449076198
36,0.5668928042573148,0.042083480179914944,-0.7517458246995865
37,0.5086775934163646,0.6557820003256499,-0.28040606531466805
38,0.4500899509630346,0.5096306143752645,0.4363101968262088
39,0.39218439866290405,-0.15550168719771706,0.6066330224621533
40,0.3359157898825229,-0.567529189631528,0.1175857508319101
41,0.2821207048339673,-0.32451386962400897,-0.42048954000738115
42,0.23153094645532457,0.2150487741859902,-0.43044740814230437
43,0.1847834041383203,0.42980438147818173,0.007183160897401591
44,0.14242101392336018,0.1556142011304298,0.34380988108240623
45,0.10490722840050057,-0.2114165492663654,0.24537781296768266
46,0.0726649854762807,-0.2584446950225276,-0.07662457237070497
47,0.04611808946135785,-0.0243461981438311,-0.21336670803407726
48,0.02570170732603688,0.14281657995733155,-0.07283633581755747
49,0.011832717716002559,0.07183789212155889,0.08168252549679048
50,0.0048601579058556825,-0.054850271873106066,0.04303028679084108
51,0.005019254577776292,-0.017561965196894826,-0.06863550069897754
52,0.012394423665757066,0.10880810648523634,-0.02356309888054911
53,0.026887098979692818,0.07456446609900882,0.14603848593799712
54,0.04819603347058357,-0.14717774882655157,0.16289488549654366
55,0.07583039757877631,-0.2607203148610452,-0.08863021492433472
56,0.10916526973101376,-0.03302139841875604,-0.32874740603917096
57,0.1475207975350496,0.3296368055119195,-0.19713034770665464
58,0.1902303140535171,0.36322737031626495,0.24144604264027195
59,0.23667549760019152,-0.06674862597925388,0.4818922270903248
60,0.28629128910695806,-0.5089179664790744,0.16520833060642492
61,0.33855198293093014,-0.40389268114162163,-0.4188349138397639
62,0.39293936880947755,0.21419894998775693,-0.5891164389436268
63,0.44888739473856615,0.6661259977108966,-0.07185784516828127
64,0.5057127898789828,0.380757430213013,0.6006134940346957
65,0.5625637936377478,-0.3900451503685898,0.6406469966461187
66,0.618420758813729,-0.7834437042975811,-0.06809347259622862
67,0.6721553716417046,-0.30000463641482306,-0.7629892461701635
68,0.7226240798605387,0.5693743854336782,-0.6312185747208013
69,0.7687639451697797,0.8447797870065178,0.23475744212910943
70,0.8096745774931082,0.17187145142157767,0.8832523884368207
71,0.8446824677167116,-0.728571803771684,0.5602370877276749
72,0.8733780469203027,-0.8406656059428312,-0.40823937329105714
73,0.89560538996278,-0.010269162924261315,-0.9463085829979643
74,0.9113944481249716,0.84965756324266,-0.43528895385653527
75,0.9208569763659722,0.7725369298949168,0.5692483362421963
76,0.9240917989928581,-0.16537793961589867,0.9469645907219859
77,0.9211373019427567,-0.9199013440048893,0.2737130235132317
78,0.9119764029323745,-0.6519169992972677,-0.6978399737472917
79,0.8965734552383039,0.3309474743733835,-0.8871568206603512
80,0.8749231659151733,0.9301719828361726,-0.09850506718842592
81,0.8471058956446842,0.4953098214271699,0.7757409854084476
82,0.8133461533796768,-0.4634555530127312,0.7736634305441483
83,0.7740571240657099,-0.877203827894261,-0.06760597897646113
84,0.7298455661799236,-0.3213874486484341,-0.7915526982021941
85,0.6814678170087323,0.5460870571882703,-0.6190773319870362
86,0.6297590553496987,0.7666958685835674,0.20478403367105508
87,0.5755741722433354,0.150933126095067,0.7435007489508709
88,0.5197633902394421,-0.5691362769949297,0.44254636869800734
89,0.463175391717805,-0.6128020924313249,-0.2960557164278287
90,0.4066648468763171,-0.005578757116277858,-0.6376783862930864
91,0.3510901063832873,0.5292942311024961,-0.2663413661166901
92,0.29730321241272845,0.4344249176708814,0.3295120685489021
93,0.24613759436927288,-0.09645539228747538,0.4866558862974351
94,0.19838961982578462,-0.431087534656136,0.1120408733002353
95,0.15478681369608488,-0.25333624495581625,-0.3010108979551597
96,0.11594808462489875,0.14270389643942097,-0.30916610837202996
97,0.08235733987216377,0.28697784139318044,0.001028796128656363
98,0.054371215299727285,0.09273437254729937,0.21394286958902364
99,0.03226083808145179,-0.126270316773114,0.12773662428399005
100,0.01626444934515041,-0.11397072499406077,-0.057228692012648505
101,0.006621674936623876,0.02701517183333299,-0.07675842251791895
102,0.003572518151087531,0.04696753450308038,0.036967132074174826
103,0.007320833867502369,-0.06975221018342596,0.04955262901228891
104,0.017972414822026328,-0.09372938934817658,-0.09584996815046028
105,0.03546390190703414,0.08481338133180827,-0.168138610241965
106,0.059505861628086514,0.24328019313424581,0.017905564963177443
107,0.08956745018958603,0.10243907414370693,0.28120043790535987
108,0.12492048552013896,-0.24948954913921664,0.2503506548632325
109,0.16473582867472175,-0.38294534544510117,-0.13449420462106873
110,0.20819910169755926,-0.0513025701643594,-0.45339513450420954
111,0.25460395664379976,0.4260118950870462,-0.27040307300055466
112,0.3033931971996803,0.4693072627956907,0.2883468229179868
113,0.3541387666991459,-0.05689278320958661,0.5923697982829753
114,0.4064680790587525,-0.5966169442562825,0.2247583166093044
115,0.45995573350012764,-0.49459694330154547,-0.4640362024421106
116,0.5140122447680087,0.20870562142690444,-0.68589664553256
117,0.5678123650313082,0.7434125268512868,-0.12308606725333672
118,0.6203010587889988,0.4607338320129619,0.6387686551699688
119,0.6702865134405377,-0.3809328514408348,0.7246907451690635
120,0.7165889164934782,-0.8463278551581439,-0.017834743533171615
121,0.7581880506323708,-0.37276755687859214,-0.7869132094272763
122,0.794319453402489,0.5497312377262199,-0.70150910163054
123,0.8244995449304677,0.8897421020155464,0.18126923851394303
124,0.8484902693585571,0.2390645733801693,0.889572031435968
125,0.866227183507509,-0.696145169997653,0.6177451625034776
126,0.877735218704889,-0.8693508957878381,-0.34923378802425825
127,0.8830553488844728,-0.07588567258683335,-0.936641187211259
128,0.8822050870627745,0.803877805657183,-0.4857834503506339
129,0.8751868924032384,0.7903681103826735,0.5005048875818902
130,0.8620367171742418,-0.09435454899443148,0.9236524975651282
131,0.8428819166585791,-0.8589379297269214,0.3242029449820118
132,0.8179728083411424,-0.6634835964836968,-0.6146237267940454
133,0.7876715686808125,0.24912653841855575,-0.851826001326797
134,0.7524111681868603,0.8536937864301167,-0.15368177249586404
135,0.7126537175658754,0.5046551453361565,0.6767399070925388
136,0.6688729076514726,-0.36848199091604467,0.7301328166998252
137,0.6215680946278781,-0.7883870897627776,-0.003727106552829127
138,0.5713020135430124,-0.3340828885876265,-0.6780048945958723
139,0.5187455826127965,0.43628883187703305,-0.5730598902315276
140,0.46470923522959706,0.6695493559486243,0.12811282206859484
141,0.4101400678983347,0.17181454322535825,0.6169439444832863
142,0.35607278423030403,-0.4443234799184789,0.3983082090836656
143,0.30354219869048527,-0.5111096894856177,-0.20569172079692638
144,0.2534869019339744,-0.03642067126797866,-0.5021557892112409
145,0.20668173326640124,0.393485154573709,-0.2277085119105248
146,0.1637230289631203,0.3345397983418987,0.22760964893536934
147,0.1250639264374353,-0.05396841750854553,0.34950155414398176
148,0.0910751771838215,-0.2896662278589048,0.08466790195708505
149,0.06210143500560189,-0.1626311174337641,-0.18881884081798384
