dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,10.0,20.0,18.58585858585859
96,20.333333333333336,30.333333333333336,28.515151515151516
128,30.66666666666667,40.66666666666667,38.54545454545455
160,41.0,51.0,48.474747474747474
192,51.33333333333334,61.33333333333334,58.50505050505051
224,61.66666666666667,71.66666666666667,68.53535353535354
256,72.0,82.0,78.56565656565657
288,82.33333333333334,92.33333333333334,88.5959595959596
320,92.66666666666669,102.66666666666669,98.52525252525254
352,103.0,113.0,108.55555555555556
384,113.33333333333334,123.33333333333334,118.5858585858586
416,123.66666666666669,133.66666666666669,128.61616161616163
448,134.0,144.0,138.64646464646464
480,144.33333333333334,154.33333333333334,148.6767676767677
512,154.66666666666669,164.66666666666669,158.70707070707073
544,165.0,175.0,168.73737373737373
576,175.33333333333331,185.33333333333331,178.76767676767676
608,185.66666666666669,195.66666666666669,188.79797979797982
640,196.0,206.0,198.82828282828282
672,206.33333333333331,216.33333333333331,208.85858585858583
704,216.66666666666669,226.66666666666669,218.8888888888889
736,227.0,237.0,228.91919191919192
768,237.33333333333331,247.33333333333331,238.94949494949492
800,247.66666666666669,257.6666666666667,248.979797979798
832,258.0,268.0,259.010101010101
864,268.33333333333337,278.33333333333337,269.0404040404041
896,278.6666666666667,288.6666666666667,279.0707070707071
928,289.0,299.0,289.1010101010101
960,299.33333333333337,309.33333333333337,299.33333333333337
992,299.33333333333337,309.33333333333337,309.23232323232327
1024,309.6666666666667,319.6666666666667,319.26262626262627
