dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,20,520,30.20408163265306
96,20,520,40.40816326530612
128,20,520,60.816326530612244
160,20,520,71.0204081632653
192,20,520,91.42857142857143
224,20,520,101.63265306122449
256,20,520,122.0408163265306
288,20,520,132.24489795918367
320,20,520,152.6530612244898
352,20,520,162.85714285714286
384,20,520,183.26530612244898
416,20,520,203.6734693877551
448,20,520,213.87755102040816
480,20,520,234.28571428571428
512,20,520,244.48979591836735
544,20,520,264.8979591836735
576,20,520,285.3061224489796
608,20,520,295.51020408163265
640,20,520,315.9183673469388
672,20,520,326.1224489795918
704,20,520,346.53061224489795
736,20,520,366.9387755102041
768,20,520,377.1428571428571
800,20,520,397.55102040816325
832,20,520,417.9591836734694
864,20,520,428.1632653061224
896,20,520,448.57142857142856
928,20,520,468.9795918367347
960,20,520,479.18367346938777
992,20,520,499.59183673469386
1024,20,520,520.0
