dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,20,400,20.0
96,20,400,30.27027027027027
128,20,400,50.81081081081081
160,20,400,61.08108108108108
192,20,400,71.35135135135135
224,20,400,81.62162162162161
256,20,400,91.89189189189189
288,20,400,112.43243243243244
320,20,400,122.70270270270271
352,20,400,132.97297297297297
384,20,400,143.24324324324323
416,20,400,163.78378378378378
448,20,400,174.05405405405406
480,20,400,184.32432432432432
512,20,400,194.59459459459458
544,20,400,215.13513513513513
576,20,400,225.40540540540542
608,20,400,235.67567567567568
640,20,400,245.94594594594594
672,20,400,266.48648648648646
704,20,400,276.7567567567568
736,20,400,287.02702702702703
768,20,400,297.2972972972973
800,20,400,317.8378378378378
832,20,400,328.1081081081081
864,20,400,338.3783783783784
896,20,400,348.64864864864865
928,20,400,369.18918918918916
960,20,400,379.4594594594595
992,20,400,389.72972972972974
1024,20,400,400.0
