dimensions,opt_times
64,13
96,16
128,18
160,21
192,22
224,24
256,26
288,28
320,29
352,30
384,32
416,33
448,34
480,36
512,37
544,38
576,39
608,40
640,41
672,42
704,43
736,44
768,45
800,46
832,47
864,48
896,49
928,50
960,50
992,51
1024,52
