dimensions,opt_times
64,14
96,19
128,22
160,25
192,28
224,31
256,33
288,36
320,38
352,40
384,42
416,44
448,46
480,48
512,50
544,52
576,54
608,55
640,57
672,59
704,60
736,62
768,63
800,65
832,66
864,68
896,69
928,71
960,72
992,73
1024,75
