dimensions,opt_times
64,13
96,16
128,19
160,22
192,24
224,26
256,28
288,30
320,31
352,33
384,34
416,36
448,37
480,38
512,40
544,41
576,42
608,43
640,44
672,45
704,46
736,47
768,48
800,49
832,50
864,51
896,52
928,53
960,54
992,55
1024,56
