dimensions,opt_times
64,12
96,15
128,18
160,20
192,22
224,23
256,25
288,27
320,28
352,29
384,31
416,32
448,33
480,35
512,36
544,37
576,38
608,39
640,40
672,41
704,43
736,44
768,44
800,45
832,46
864,47
896,48
928,49
960,50
992,51
1024,51
