times,overlaps
0.0,0.12499999999999997
0.5,0.13935517651029491
1.0,0.17943567062612073
1.5,0.23712038133579724
2.0,0.30355705433065594
2.5,0.3710163926862088
3.0,0.4340434401864957
3.5,0.48962959940815165
4.0,0.5365451607045358
4.5,0.5742792873944078
5.0,0.6021182716977536
5.5,0.6187477093795745
6.0,0.6224812548506325
6.5,0.6119344142306974
7.0,0.5867939342763475
7.5,0.548333075796771
8.0,0.49946406360902273
8.5,0.4443210857013619
9.0,0.3875394057847938
9.5,0.3334768051272351
10.0,0.28560028631729223
10.5,0.24616535925955355
11.0,0.2161997870440614
11.5,0.19571492892144005
12.0,0.18402870921517434
12.5,0.180091559784098
13.0,0.1827410220428783
13.5,0.19085072100305706
14.0,0.20337215299933048
14.5,0.21929057120696627
15.0,0.23753216940835625
15.5,0.2568705440579
16.0,0.2758832088591657
16.5,0.29299819003811506
17.0,0.30664372337663287
17.5,0.315475830973447
18.0,0.31862227791651754
18.5,0.3158633785448321
19.0,0.3076815078889471
19.5,0.2951512488870001
20.0,0.27969688715437013
