dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,6.5275229357798175,7.5275229357798175,6.689139097395979
96,8.545871559633028,9.545871559633028,9.374154387915857
128,11.573394495412845,12.573394495412845,11.90672782874618
160,13.591743119266054,14.591743119266054,14.339217866740801
192,16.61926605504587,17.61926605504587,16.70007413585395
224,18.637614678899087,19.637614678899087,19.01135205263646
256,20.65596330275229,21.65596330275229,21.272124918913907
288,22.674311926605505,23.674311926605505,23.49249374478732
320,24.69266055045871,25.69266055045871,25.67245853025669
352,27.720183486238536,28.720183486238536,27.831294597349647
384,29.738532110091747,30.738532110091747,29.960754332313968
416,31.756880733944953,32.75688073394495,32.07001204707627
448,33.775229357798175,34.775229357798175,34.159067741636555
480,35.793577981651374,36.793577981651374,36.2178204058938
512,37.811926605504595,38.811926605504595,38.26647206005005
544,39.830275229357795,40.830275229357795,40.30502270410527
576,41.84862385321101,42.84862385321101,42.32337132795848
608,43.866972477064216,44.866972477064216,44.32151793160967
640,45.88532110091742,46.88532110091742,46.319664535260856
672,47.90366972477064,48.90366972477064,48.29760911871003
704,49.92201834862385,50.92201834862385,50.2654526920582
736,51.940366972477065,52.940366972477065,52.21309424520434
768,53.95871559633027,54.95871559633027,54.16073579835047
800,55.97706422018349,56.97706422018349,56.09827634139562
832,57.995412844036686,58.995412844036686,58.02571587433972
864,59.00458715596329,60.00458715596329,59.94398109535723
896,61.02293577981651,62.02293577981651,61.85121860809934
928,63.04128440366973,64.04128440366972,63.74835511074043
960,65.05963302752292,66.05963302752292,65.64549161338151
992,67.07798165137615,68.07798165137615,67.5325271059216
1024,69.09633027522935,70.09633027522935,69.40946158836066
1056,71.11467889908256,72.11467889908256,71.28639607079974
1088,73.13302752293578,74.13302752293578,73.14312853303679
1120,74.14220183486238,75.14220183486238,75.01088870354924
1152,76.16055045871559,77.16055045871559,76.8575201556853
1184,78.17889908256882,79.17889908256882,78.70415160782134
1216,80.19724770642203,81.19724770642203,80.55078305995738
1248,82.2155963302752,83.2155963302752,82.38731350199238
1280,83.2247706422018,84.2247706422018,84.2146696321008
1312,85.24311926605505,86.24311926605505,86.04109906403484
1344,87.26146788990826,88.26146788990826,87.85742748586786
1376,89.27981651376145,90.27981651376145,89.67375590770084
1408,91.29816513761469,92.29816513761469,91.47998331943288
1440,92.30733944954127,93.30733944954127,93.28713742933925
1472,94.32568807339449,95.32568807339449,95.09336484107125
1504,96.3440366972477,97.3440366972477,96.88949124270225
1536,98.36238532110092,99.36238532110092,98.67551663423222
1568,100.38073394495413,101.38073394495413,100.47164303586322
1600,101.38990825688072,102.38990825688072,102.24849411546657
1632,103.40825688073392,104.40825688073392,104.03451950699655
1664,105.42660550458713,106.42660550458713,105.81044388842551
1696,107.44495412844036,108.44495412844036,107.5863682698545
1728,108.45412844036694,109.45412844036694,109.35311833935684
1760,110.47247706422016,111.47247706422016,111.11894171068481
