dimensions,start_gammaNs,end_gammaNs,optimum_gammaNs
64,10.0,20.0,15.858585858585858
96,19.80769230769231,29.80769230769231,24.050116550116552
128,29.615384615384606,39.615384615384606,32.14063714063713
160,39.42307692307693,49.42307692307693,40.23115773115774
192,39.42307692307693,49.42307692307693,48.31196581196582
224,49.230769230769226,59.230769230769226,56.402486402486396
256,59.03846153846155,69.03846153846155,64.3919968919969
288,68.84615384615384,78.84615384615384,72.38150738150738
320,78.65384615384616,88.65384615384616,80.37101787101788
352,88.46153846153848,98.46153846153848,88.46153846153848
384,88.46153846153848,98.46153846153848,96.34032634032636
416,98.26923076923076,108.26923076923076,104.32983682983682
448,108.07692307692307,118.07692307692307,112.31934731934732
480,117.8846153846154,127.8846153846154,120.30885780885782
512,127.69230769230771,137.6923076923077,128.1973581973582
544,127.69230769230771,137.6923076923077,136.17715617715618
576,137.5,147.5,144.06565656565655
608,147.30769230769232,157.30769230769232,152.05516705516706
640,157.11538461538458,167.11538461538458,159.9436674436674
672,166.9230769230769,176.9230769230769,167.93317793317792
704,166.9230769230769,176.9230769230769,175.8119658119658
736,176.73076923076923,186.73076923076923,183.7004662004662
768,186.53846153846158,196.53846153846158,191.68997668997673
800,196.3461538461539,206.3461538461539,199.57847707847714
832,206.15384615384616,216.15384615384616,207.46697746697748
864,206.15384615384616,216.15384615384616,215.34576534576536
896,215.96153846153848,225.96153846153848,223.33527583527587
928,225.7692307692308,235.7692307692308,231.22377622377627
960,235.5769230769231,245.5769230769231,239.11227661227662
992,245.38461538461544,255.38461538461544,247.00077700077705
1024,245.38461538461544,255.38461538461544,254.87956487956495
