dimensions,opt_times
64,12
96,15
128,17
160,19
192,21
224,23
256,25
288,26
320,28
352,29
384,31
416,32
448,33
480,35
512,36
544,37
576,38
608,39
640,40
672,41
704,42
736,43
768,44
800,45
832,45
864,46
896,47
928,48
960,49
992,49
1024,50
1056,51
1088,52
1120,52
1152,53
1184,54
1216,55
1248,55
1280,56
1312,57
1344,57
1376,58
1408,59
1440,60
1472,60
1504,61
1536,62
1568,62
1600,63
1632,64
1664,64
1696,65
1728,66
1760,66
